epoch,n, train_loss, valid_loss
0,0, 507916.2750000000, 484674.1237500000,
0,1, 485175.5900000000, 421700.6500000000,
0,2, 459411.0312500000, 388663.9400000000,
0,3, 427915.9725000000, 403738.0137500000,
0,4, 396614.5487500000, 338852.7037500000,
1,0, 368447.7025000000, 364746.4425000000,
1,1, 340404.6262500000, 332349.9275000000,
1,2, 313423.3487500000, 218476.0481250000,
1,3, 282385.9337500000, 266333.0156250000,
1,4, 259059.3781250000, 250714.8950000000,
2,0, 234516.2581250000, 225803.5468750000,
2,1, 209823.6556250000, 175012.7175000000,
2,2, 189927.5743750000, 185325.4306250000,
2,3, 171501.1537500000, 179463.2518750000,
2,4, 154246.6712500000, 126543.1021875000,
3,0, 138738.4759375000, 96170.1300000000,
3,1, 125288.7962500000, 124503.3106250000,
3,2, 112490.3131250000, 82819.1993750000,
3,3, 101831.1306250000, 108608.9903125000,
3,4, 91420.7756250000, 77311.8410937500,
4,0, 81700.2771875000, 74665.4293750000,
4,1, 73429.3768750000, 65464.8951562500,
4,2, 65937.0326562500, 56267.0451562500,
4,3, 59369.1148437500, 54198.9700000000,
4,4, 52514.3107812500, 46036.7000000000,
5,0, 47473.3740625000, 42800.8482812500,
5,1, 42322.2690625000, 46516.6860937500,
5,2, 37444.2263281250, 30045.3785937500,
5,3, 32365.2059375000, 28715.5493750000,
5,4, 28667.0500781250, 29932.8987500000,
6,0, 25522.5324218750, 27687.4614062500,
6,1, 21379.6555468750, 19813.7782421875,
6,2, 18877.6364453125, 22605.6526562500,
6,3, 15774.7764062500, 19580.0612890625,
6,4, 13225.0695703125, 16943.0910937500,
7,0, 11937.5139453125, 13312.0473046875,
7,1, 10692.4630859375, 15352.9992187500,
7,2, 9439.9077734375, 13113.5289062500,
7,3, 8982.3873046875, 13617.1895312500,
7,4, 8831.3968164062, 9459.9154882813,
8,0, 8225.7798632813, 10165.0942382812,
8,1, 7730.2900000000, 11724.3108984375,
8,2, 7117.6662304687, 7467.8398437500,
8,3, 5835.7719335937, 6874.9010156250,
8,4, 4840.8059179687, 14999.4982812500,
9,0, 4382.2042578125, 4886.9915722656,
9,1, 3677.4809082031, 6879.9870312500,
9,2, 3686.6660058594, 4194.6793164063,
9,3, 3498.5039453125, 3793.4167871094,
9,4, 3338.6815332031, 9021.9725390625,
10,0, 3294.3445703125, 9978.5332812500,
10,1, 2810.2786328125, 2619.0865771484,
10,2, 2849.9831103516, 5001.0367480469,
10,3, 2309.6073632812, 2650.6930371094,
10,4, 2256.1595996094, 8378.3166601562,
11,0, 2343.1123535156, 7299.2110742187,
11,1, 2068.6686035156, 7670.9892968750,
11,2, 2314.6817187500, 4814.2832617187,
11,3, 2187.1386816406, 2679.2858056641,
11,4, 2024.0159228516, 1558.9600048828,
12,0, 1848.9042211914, 3284.5981933594,
12,1, 1885.6837597656, 4470.3181347656,
12,2, 1911.3656909180, 2095.3456347656,
12,3, 1795.7822949219, 6318.7858398438,
12,4, 1804.9467993164, 4838.6527343750,
13,0, 1751.8365234375, 2331.4085644531,
13,1, 1948.9690576172, 1634.5175292969,
13,2, 1859.7983935547, 1655.3471875000,
13,3, 1787.4084985352, 4610.1654492187,
13,4, 1572.8142871094, 9715.5449804688,
14,0, 1747.9016137695, 15155.7998828125,
14,1, 1895.0035913086, 4590.1579199219,
14,2, 1649.7988989258, 2318.6988623047,
14,3, 1635.9338134766, 2273.8862402344,
14,4, 1843.9125878906, 5903.3908984375,
15,0, 1731.0223828125, 1645.7301318359,
15,1, 1360.7238183594, 4086.8558105469,
15,2, 1620.6285571289, 1199.5892700195,
15,3, 1550.4519775391, 1249.2331518555,
15,4, 1516.0467260742, 1205.0094409180,
16,0, 1580.6430102539, 2366.1773291016,
16,1, 1597.7297070312, 2559.6226318359,
16,2, 1806.0484106445, 2111.3480761719,
16,3, 1231.5821801758, 1845.4898999023,
