epoch,n, train_loss, valid_loss
0,0, 414751.6837500000, 406319.7787500000,
0,1, 393684.4912500000, 355025.3325000000,
0,2, 367417.6150000000, 332558.6206250000,
0,3, 341217.9225000000, 256793.6356250000,
0,4, 314536.2962500000, 283210.7950000000,
1,0, 282063.1750000000, 245263.2050000000,
1,1, 257394.2562500000, 175143.4293750000,
1,2, 227776.7925000000, 204297.7356250000,
1,3, 203677.9412500000, 127236.7353125000,
1,4, 180408.2518750000, 131057.8325000000,
2,0, 159086.1803125000, 154536.8456250000,
2,1, 134632.9893750000, 78869.6028125000,
2,2, 113254.9134375000, 101657.9165625000,
2,3, 99065.4303125000, 79111.6439062500,
2,4, 84938.5823437500, 66125.6901562500,
3,0, 72879.1451562500, 53569.9004687500,
3,1, 61521.8757812500, 50813.4806250000,
3,2, 52866.1192187500, 42389.1162500000,
3,3, 45769.1150000000, 42417.9814062500,
3,4, 40585.4888281250, 31167.0429687500,
4,0, 36468.9164062500, 39876.2967968750,
4,1, 31648.5600781250, 30943.9509375000,
4,2, 28653.9850781250, 27336.2483203125,
4,3, 25953.9332031250, 22827.9406250000,
4,4, 24128.8382812500, 22150.2813281250,
5,0, 22131.8477343750, 27031.6243750000,
5,1, 20751.0658593750, 18170.2445312500,
5,2, 18598.5507031250, 22610.8379687500,
5,3, 16718.1138671875, 17000.3538671875,
5,4, 15101.0586718750, 16757.1561328125,
6,0, 13681.9575000000, 13635.9344140625,
6,1, 11843.7966796875, 11224.4818164063,
6,2, 10633.4854492187, 9918.3690234375,
6,3, 9665.5493359375, 7939.2242382813,
6,4, 8586.5224414063, 9782.5749218750,
7,0, 7701.6347851562, 7391.2189843750,
7,1, 7402.0850000000, 18962.2603515625,
7,2, 7051.2464453125, 6811.4347851562,
7,3, 6965.1866796875, 13704.3705859375,
7,4, 6669.4359765625, 6919.6037500000,
8,0, 5963.0661132813, 6075.9683300781,
8,1, 5916.4939648438, 7426.5610156250,
8,2, 5919.9842968750, 4404.9083691406,
8,3, 5701.8346679688, 5189.0384667969,
8,4, 5275.8990039063, 8214.3533398438,
9,0, 4641.8248925781, 5427.0828417969,
9,1, 4209.8557910156, 8723.4356054688,
